date,e0,e_end,plan_cost,em_cost,total_cost,plan_kWh,em_kWh,stochastic_obj
2025-08-31,1200.0,1200.0,45506.96800744794,1410.190762640342,46917.15877008828,70735.0065605243,638.8427178911036,45892.764220879064
2025-09-01,1200.0,1200.0,47023.612960907514,0.0,47023.612960907514,73717.57398886752,0.0,47249.70730663525
2025-09-02,1200.0,1200.0,46628.75182471652,0.0,46628.75182471652,73015.6174667223,0.0,46773.602214137114
2025-09-03,1200.0,1200.0,48125.84072397421,0.0,48125.84072397421,75653.46286402622,0.0,48333.95164401021
2025-09-04,1200.0,1200.0,46991.94345581143,0.0,46991.94345581143,73864.79037047431,0.0,47203.793380460134
2025-09-05,1200.0,1200.0,23336.704543449923,0.0,23336.704543449923,39637.073692729406,0.0,23529.300060608803
2025-09-06,1200.0,1200.0,23223.005683953386,0.0,23223.005683953386,39316.866194860064,0.0,23405.14184804277
2025-09-07,1200.0,1200.0,46167.62750938098,0.0,46167.62750938098,71906.92364850536,0.0,46408.77654091169
2025-09-08,1200.0,1200.0,43316.734700865854,0.0,43316.734700865854,67325.219341803,0.0,44948.59121851871
2025-09-09,1200.0,1200.0,40562.80331057028,0.0,40562.80331057028,62516.163346134956,0.0,43341.735415998905
2025-09-10,1200.0,1200.0,39974.32755991628,4541.867900086834,44516.19546000312,63720.86417633848,1901.4334282263248,42972.85488486992
2025-09-11,1200.0,1200.0,38982.74242562161,200.76124236737115,39183.50366798898,62101.7924903251,95.85734512499815,39986.24477972864
2025-09-12,1200.0,1200.0,16874.123428647676,2262.458344500364,19136.58177314804,30943.802254160186,788.1685431226439,17187.979407608043
2025-09-13,1200.0,1200.0,17014.88677887443,1383.2470319436147,18398.133810818043,31087.94876771726,418.3623714067124,17197.106463388354
2025-09-14,1200.0,1200.0,38286.150497654606,7862.580291003062,46148.73078865767,60638.83914213605,3462.523374206338,39028.12978620472
2025-09-15,1200.0,1200.0,38424.918691737286,6027.196506324953,44452.11519806224,62070.30073456863,1366.0498735155184,38913.71104917853
2025-09-16,1200.0,1200.0,37535.436793473185,9929.571786355165,47465.008579828354,59429.62046517088,3926.756352701116,37959.64429889957
2025-09-17,1200.0,1200.0,40909.07506379543,614.4059539212624,41523.481017716695,65378.167563560106,282.95105632004544,41666.09515943789
2025-09-18,1200.0,1200.0,39118.183996251406,2466.7743433889273,41584.95833964033,62453.208678380775,919.2763414717554,39881.003118211396
2025-09-19,1200.0,1200.0,17433.754562080925,1017.9135291162607,18451.668091197185,31796.304861102883,321.0573990041115,17812.73197168368
2025-09-20,1200.0,1200.0,17485.062509874857,2260.6916687487915,19745.754178623647,31786.50691135494,764.6122043796299,17729.42954365693
2025-09-21,1200.0,1200.0,40829.339905770896,810.6948052899838,41640.03471106088,65482.86492429291,200.2744550091658,41598.442466621345
